questid2,filedate,age2,mr30est
70001943,10/09/2020,5,91
69101943,10/09/2020,16,93
51331943,10/09/2020,15,99
10431943,10/09/2020,12,91
91041943,10/09/2020,17,93
45261943,10/09/2020,17,91
77681943,10/09/2020,9,98
15692943,10/09/2020,15,91
74792943,10/09/2020,3,99
78102943,10/09/2020,14,93
80712943,10/09/2020,14,91
59812943,10/09/2020,8,93
24932943,10/09/2020,8,91
51942943,10/09/2020,16,99
71372943,10/09/2020,9,93
88482943,10/09/2020,12,91
46682943,10/09/2020,7,91
31993943,10/09/2020,9,99
83313943,10/09/2020,2,91
46343943,10/09/2020,2,91
59043943,10/09/2020,11,91
85253943,10/09/2020,13,93
48383943,10/09/2020,4,93
83883943,10/09/2020,17,91
25494943,10/09/2020,17,93
77004943,10/09/2020,11,91
38334943,10/09/2020,15,93
95344943,10/09/2020,11,91
78854943,10/09/2020,1,91
45154943,10/09/2020,14,93
57384943,10/09/2020,15,98
23915043,10/09/2020,16,93
16425043,10/09/2020,15,91
32825043,10/09/2020,13,99
81445043,10/09/2020,10,93
80926043,10/09/2020,8,91
81156043,10/09/2020,12,91
47366043,10/09/2020,7,91
16466043,10/09/2020,14,91
23766043,10/09/2020,17,91
39597043,10/09/2020,15,91
29307043,10/09/2020,13,91
54807043,10/09/2020,5,99
23717043,10/09/2020,13,99
26747043,10/09/2020,12,93
48357043,10/09/2020,1,91
77457043,10/09/2020,15,91
20777043,10/09/2020,2,91
23287043,10/09/2020,11,93
48787043,10/09/2020,7,91
17887043,10/09/2020,15,93
51298043,10/09/2020,16,91
25898043,10/09/2020,10,99
63098043,10/09/2020,15,91
37408043,10/09/2020,15,91
22908043,10/09/2020,15,99
21438043,10/09/2020,15,91
98448043,10/09/2020,17,93
87548043,10/09/2020,12,93
46458043,10/09/2020,7,91
45558043,10/09/2020,7,91
24658043,10/09/2020,7,91
21958043,10/09/2020,14,91
23999043,10/09/2020,15,91
71049043,10/09/2020,13,99
10149043,10/09/2020,4,91
77069043,10/09/2020,17,91
66789043,10/09/2020,4,91
42189043,10/09/2020,2,91
39290043,10/09/2020,14,93
89810043,10/09/2020,15,91
37630043,10/09/2020,12,91
28050043,10/09/2020,3,91
27770043,10/09/2020,12,91
56870043,10/09/2020,2,91
27391043,10/09/2020,15,91
10091043,10/09/2020,6,91
52221043,10/09/2020,15,93
39331043,10/09/2020,16,91
97531043,10/09/2020,7,91
11131043,10/09/2020,15,99
27241043,10/09/2020,15,91
95061043,10/09/2020,14,91
41892043,10/09/2020,14,99
68902043,10/09/2020,11,91
79422043,10/09/2020,7,91
53022043,10/09/2020,16,93
79232043,10/09/2020,15,93
45632043,10/09/2020,16,91
19942043,10/09/2020,16,93
82452043,10/09/2020,2,91
35962043,10/09/2020,3,91
89372043,10/09/2020,12,93
25393043,10/09/2020,15,91
20223043,10/09/2020,1,91
74633043,10/09/2020,4,91
63733043,10/09/2020,14,91
52163043,10/09/2020,2,91
67473043,10/09/2020,15,99
52973043,10/09/2020,2,91
71073043,10/09/2020,14,91
99083043,10/09/2020,14,93
20794043,10/09/2020,4,91
27614043,10/09/2020,11,91
67234043,10/09/2020,17,93
27944043,10/09/2020,15,91
75144043,10/09/2020,14,91
53905153,10/09/2020,13,93
81105153,10/09/2020,16,93
41725153,10/09/2020,14,93
63335153,10/09/2020,17,91
